,제목,저자,출판사,발간일,가격
93,광장/구운몽,최인훈,문학과지성사,2014년 12월,"10,800"
94,무진기행,김승옥,민음사,2007년 08월,"8,100"
95,百의 그림자,황정은,창비,2022년 02월,"13,500"
96,호수의 일,이현,창비,2022년 01월,"12,600"
97,므레모사,김초엽,현대문학,2021년 12월,"12,600"
98,두근두근 내 인생,김애란,창비,2011년 06월,"12,600"
99,소설 보다 : 봄 2022,김병운,문학과지성사,2022년 03월,"3,150"
100,마음에 없는 소리,김지연,문학동네,2022년 03월,"13,050"
101,칼의 노래,김훈,문학동네,2012년 01월,"12,600"
102,브로콜리 펀치,이유리,문학과지성사,2021년 10월,"12,600"
103,전지적 독자 시점 Part 1 : 제4의 벽 에디션 세트,싱숑,비채,2022년 01월,"115,200"
104,호텔 이야기,임경선,토스트,2022년 11월,"13,500"
105,엄마의 말뚝,박완서,세계사,2012년 01월,"16,200"
106,일의 기쁨과 슬픔 (특별한정판),장류진,창비,2021년 12월,"13,050"
107,달까지 가자,장류진,창비,2021년 04월,"12,600"
108,나는 나를 파괴할 권리가 있다,김영하,복복서가,2022년 05월,"10,350"
109,순이 삼촌,현기영,창비,2015년 03월,"13,500"
110,소나기 : 황순원 단편집,황순원,다림,2002년 01월,"8,100"
111,검은 꽃,김영하,복복서가,2020년 07월,"9,900"
112,보건교사 안은영 (리커버 특별판),정세랑,민음사,2020년 09월,"12,600"
113,"어느 날, 너의 심장이 멈출 거라 말했다",클로에 윤,팩토리나인,2021년 12월,"12,600"
114,목소리를 드릴게요,정세랑,아작,2020년 01월,"13,320"
115,나의 아름다운 정원,심윤경,한겨레출판,2013년 11월,"9,900"
116,나주에 대하여,김화진,문학동네,2022년 10월,"13,500"
117,여름과 루비,박연준,은행나무,2022년 07월,"13,050"
118,[예스리커버] 천 개의 파랑,천선란,허블,2022년 11월,"12,600"
119,메시지를 입력하세요,오휘명,히읏,2022년 02월,"13,770"
120,어떤 물질의 사랑,천선란,아작,2020년 07월,"13,320"
121,소설 보다 : 가을 2022,김기태,문학과지성사,2022년 09월,"3,150"
122,연적,김호연,나무옆의자,2015년 10월,"11,700"
123,날개,이상,문학과지성사,2005년 04월,"10,800"
124,28,정유정,은행나무,2013년 06월,"13,050"
125,인어 사냥 ,차인표,해결책,2022년 10월,"13,500"
126,수상한 초콜릿 가게,김예은,서랍의날씨,2022년 10월,"12,150"
127,숨 쉬는 소설,최진영,창비교육,2021년 08월,"14,400"
128,전지적 독자 시점 아트북 에디션 세트,싱숑,비채,2022년 09월,"160,650"
129,어느 날 내가 죽었습니다,이경혜,바람북스,2021년 03월,"11,520"
130,여행하는 소설,장류진,창비교육,2022년 03월,"14,400"
131,소설 보다 : 여름 2022,김지연,문학과지성사,2022년 06월,"3,150"
132,고독사 워크숍,박지영,민음사,2022년 06월,"13,500"
133,중고생이 꼭 읽어야 할 한국단편소설 45,오대교,생각뿔,2019년 08월,"16,650"
134,악마의 계약서는 만기 되지 않는다,리러하,팩토리나인,2022년 08월,"13,050"
135,젊은작가상 수상작품집 10주년 특별판,편혜영,문학동네,2019년 04월,"6,930"
136,채식주의자,한강,창비,2007년 10월,"10,800"
137,토지 1,박경리,마로니에북스,2012년 08월,"12,150"
138,로렘 입숨의 책,구병모,안온북스,2023년 01월,"13,500"
139,이상 소설 전집,이상,민음사,2012년 11월,"11,700"
140,설이,심윤경,한겨레출판,2019년 01월,"11,700"
141,김약국의 딸들,박경리,마로니에북스,2013년 03월,"13,500"
142,미스터 션샤인 1,김수연,알에이치코리아(RHK),2018년 09월,"13,320"
143,2021 제12회 젊은작가상 수상작품집,전하영,문학동네,2021년 04월,"12,600"
144,단순한 진심,조해진,민음사,2019년 07월,"11,700"
145,소설 보다 : 겨울 2022,김채원,문학과지성사,2022년 12월,"3,150"
146,"땡스 갓, 잇츠 프라이데이",심너울,안전가옥,2020년 01월,"9,000"
147,허구의 삶,이금이,문학동네,2019년 10월,"10,350"
148,구운몽,김만중,민음사,2003년 01월,"7,200"
149,소마,채사장,웨일북,2021년 12월,"13,500"
150,스노볼 드라이브,조예은,민음사,2021년 02월,"12,600"
151,나목,박완서,세계사,2012년 01월,"12,600"
152,보테로 가족의 사랑 약국,이선영,클레이하우스,2022년 09월,"13,500"
153,가시고기,조창인,산지,2019년 05월,"13,500"
154,흰,한강,문학동네,2018년 04월,"11,250"
155,세상에서 가장 약한 요괴,김동식,요다,2017년 12월,"11,700"
156,미스터 션샤인 2,김수연,알에이치코리아(RHK),2018년 10월,"13,320"
157,내가 되는 꿈,최진영,현대문학,2021년 02월,"12,600"
158,눈감지 마라,이기호,마음산책,2022년 09월,"13,500"
159,최선의 삶,임솔아,문학동네,2015년 07월,"10,800"
160,마법소녀 은퇴합니다,박서련,창비,2022년 04월,"12,600"
161,아버지에게 갔었어,신경숙,창비,2021년 03월,"12,600"
162,2022 제5회 한국과학문학상 수상작품집,서윤빈,허블,2022년 05월,"5,400"
163,다섯 번째 감각,김보영,아작,2022년 02월,"16,200"
164,헬프 미 시스터,이서수,은행나무,2022년 03월,"13,500"
165,서영동 이야기,조남주,한겨레출판,2022년 01월,"13,500"
166,밤의 여행자들,윤고은,민음사,2013년 10월,"11,700"
167,프리즘,손원평,은행나무,2020년 09월,"12,150"
168,운수 좋은 날,현진건,사피엔스21,2012년 02월,"6,300"
169,파도가 바다의 일이라면,김연수,문학동네,2015년 10월,"12,600"
170,가슴 뛰는 소설 : 사랑이 움직이는 순간,박상영,창비교육,2020년 08월,"14,400"
171,밸런스 게임,김동식,요다,2021년 03월,"11,700"
172,언제나 밤인 세계,하지은,황금가지,2022년 04월,"15,120"
173,그 산이 정말 거기 있었을까,박완서,웅진지식하우스,2021년 01월,"11,700"
174,소나기,황순원,맑은소리(동반인),2010년 01월,"6,300"
175,시간이 없다,정찬주,불광출판사,2022년 09월,"16,200"
176,곰탕 1,김영탁,arte(아르테),2018년 03월,"15,300"
177,자본주의의 적,정지아,창비,2021년 04월,"12,600"
178,시간을 파는 상점 (10주년 한정특별판),김선영,자음과모음,2022년 03월,"11,700"
179,82년생 김지영,조남주,민음사,2016년 10월,"11,700"
180,까칠한 재석이가 사라졌다,고정욱,애플북스,2022년 04월,"10,800"
181,페퍼민트,백온유,창비,2022년 07월,"12,600"
182,절연,정세랑,문학동네,2022년 12월,"15,300"
183,체공녀 강주룡,박서련,한겨레출판,2018년 07월,"11,700"
184,뉴서울파크 젤리장수 대학살,조예은,안전가옥,2019년 06월,"13,500"
185,어떤 진심 ,안보윤,현대문학,2022년 12월,"13,500"
186,"재인, 재욱, 재훈",정세랑,은행나무,2021년 09월,"7,200"
187,"거기, 내가 가면 안 돼요?",이금이,사계절,2017년 07월,"13,500"
188,산산조각,정호승,시공사,2022년 04월,"14,400"
189,도깨비 1,김수연,알에이치코리아(RHK),2017년 01월,"12,420"
190,뜻밖의 계절,임하운,시공사,2019년 08월,"11,520"
191,완득이,김려령,창비,2023년 02월,"12,600"
192,조커와 나,김중미,창비,2013년 01월,"10,800"
193,날마다 만우절,윤성희,문학동네,2021년 07월,"12,600"
194,[그래제본소] 오빠 새끼 잡으러 간다 ,염기원,문학세계사,2023년 02월,"13,050"
195,한 스푼의 시간,구병모,위즈덤하우스,2016년 09월,"10,800"
196,도깨비 2,김수연,알에이치코리아(RHK),2017년 02월,"12,420"
197,뜨거운 피,김언수,문학동네,2016년 08월,"14,850"
198,오즈의 마법사,L. 프랭크 바움,인디고(글담),2018년 01월,"11,700"
199,한국단편문학선 1,김동인,민음사,2000년 10월,"9,900"
200,경청  ,김혜진,민음사,2022년 10월,"13,500"
201,옥상에서 만나요,정세랑,창비,2018년 11월,"13,500"
202,아침을 볼 때마다 당신을 떠올릴 거야,조수경,한겨레출판,2019년 02월,"12,420"
203,13일의 김남우,김동식,요다,2017년 12월,"11,700"
204,카지노 베이비 ,강성봉,한겨레출판,2022년 07월,"12,420"
205,광개토태왕 담덕 1,엄광용,새움,2022년 07월,"14,400"
206,서른의 반격,손원평,은행나무,2017년 10월,"11,250"
207,광개토태왕 담덕 2,엄광용,새움,2022년 07월,"14,400"
208,엄마를 부탁해,신경숙,창비,2008년 10월,"13,500"
209,이중 작가 초롱,이미상,문학동네,2022년 11월,"13,950"
210,재능의 불시착,박소연,알에이치코리아(RHK),2021년 10월,"13,320"
211,곰탕 2,김영탁,arte(아르테),2018년 03월,"15,300"
212,가시고기 우리 아빠,조창인,산지,2022년 02월,"15,300"
213,삼성동 하우스,김경래,농담과진담,2022년 12월,"13,500"
214,"진이, 지니",정유정,은행나무,2019년 05월,"12,600"
215,봄봄/미스터 방 외,전도현,서연비람,2018년 07월,"10,800"
216,내가 말하고 있잖아,정용준,민음사,2020년 06월,"12,600"
217,삼개주막 기담회,오윤희,고즈넉이엔티,2021년 05월,"13,500"
218,급류,정대건,민음사,2022년 12월,"12,600"
219,격리된 아이,김소연,우리학교,2020년 07월,"11,700"
220,우리의 밤이 시작되는 곳,고요한,나무옆의자,2022년 05월,"11,700"
221,당신들의 천국,이청준,문학과지성사,2012년 09월,"11,700"
222,너무 한낮의 연애,김금희,문학동네,2016년 05월,"12,600"
223,"그믐, 또는 당신이 세계를 기억하는 방식",장강명,문학동네,2015년 08월,"9,000"
224,가장 나쁜 일 ,김보현,민음사,2022년 07월,"13,500"
225,마르타의 일,박서련,한겨레출판,2019년 09월,"12,600"
226,빛을 걷으면 빛,성해나,문학동네,2022년 05월,"13,500"
227,아홉 켤레의 구두로 남은 사내,윤흥길,문학과지성사,2001년 02월,"11,700"
228,산 자들,장강명,민음사,2019년 06월,"12,600"
229,죽은 왕녀를 위한 파반느,박민규,예담,2009년 07월,"11,520"
230,이 와중에 스무 살,최지연,창비교육,2022년 10월,"12,600"
231,장마,윤흥길,민음사,2005년 10월,"9,900"
232,오직 두 사람,김영하,복복서가,2022년 07월,"11,700"
233,비상문,최진영,미메시스,2018년 09월,"7,020"
234,양심 고백,김동식,요다,2018년 04월,"11,700"
235,여자들의 왕,정보라,아작,2022년 07월,"15,120"
236,계속해보겠습니다,황정은,창비,2014년 10월,"12,150"
237,기억하는 소설,강영숙,창비교육,2021년 05월,"14,400"
238,제 꿈 꾸세요,김멜라,문학동네,2022년 08월,"13,050"
239,흑산 黑山,김훈,학고재,2011년 10월,"12,420"
240,이만큼 가까이,정세랑,창비,2021년 08월,"12,600"
241,물 만난 물고기,이찬혁,수카,2019년 09월,"13,500"
242,죽이고 싶은 아이,이꽃님,우리학교,2021년 10월,"12,600"
243,가시고백,김려령,비룡소,2012년 02월,"11,700"
244,황만근은 이렇게 말했다,성석제,창비,2002년 06월,"12,600"
245,룬의 아이들 - 블러디드 4,전민희,엘릭시르,2021년 04월,"13,050"
246,"가장 질긴 족쇄, 가장 지긋지긋한 족속, 가족",류현재,자음과모음,2022년 05월,"12,420"
247,더 셜리 클럽,박서련,민음사,2020년 08월,"11,700"
248,우리들의 일그러진 영웅,이문열,알에이치코리아(RHK),2020년 07월,"13,500"
249,투명인간,성석제,창비,2014년 06월,"12,600"
250,아주 오래된 농담,박완서,실천문학사,2011년 01월,"9,900"
251,아무도 모를 것이다,정보라,퍼플레인(갈매나무),2023년 01월,"15,300"
252,이국에서,이승우,은행나무,2022년 09월,"14,400"
253,고구려 6,김진명,이타북스,2021년 06월,"14,220"
254,언러키 스타트업 ,정지음,민음사,2022년 10월,"13,500"
255,봄봄 : 김유정 단편집,김유정,다림,2002년 01월,"8,100"
256,사라진 숲의 아이들,손보미,안온북스,2022년 07월,"16,200"
257,"달려라, 아비",김애란,창비,2019년 09월,"12,600"
258,궤변 말하기 대회,김동식,요다,2022년 07월,"11,700"
259,이제야 언니에게,최진영,창비,2019년 09월,"14,400"
260,무림세가 천대받는 손녀 딸이 되었다 세트,마루별,연담,2023년 03월,"63,000"
261,스노볼 2,박소영,창비,2021년 12월,"13,500"
262,일의 기쁨과 슬픔,장류진,창비,2019년 10월,"12,600"
263,토지 2,박경리,마로니에북스,2012년 08월,"12,150"
264,한국이 싫어서,장강명,민음사,2015년 05월,"11,700"
265,관촌수필,이문구,문학과지성사,2018년 09월,"13,500"
266,타인의 집,손원평,창비,2021년 06월,"12,600"
267,나목·도둑맞은 가난,박완서,민음사,2005년 10월,"9,900"
268,눈으로 만든 사람,최은미,문학동네,2021년 06월,"13,320"
269,직지 2,김진명,쌤앤파커스,2019년 08월,"12,600"
270,몽실 언니,권정생,창비,2012년 04월,"13,500"
271,까칠한 재석이 1~6권 세트,고정욱,애플북스,2020년 03월,"48,420"
272,희망,양귀자,쓰다,2020년 06월,"17,820"
273,스노볼 1,박소영,창비,2021년 12월,"13,500"
274,수난이대,하근찬,사피엔스21,2012년 07월,"7,200"
275,희랍어 시간,한강,문학동네,2011년 11월,"11,700"
276,현의 노래,김훈,문학동네,2012년 01월,"11,700"
277,직지 1,김진명,쌤앤파커스,2019년 08월,"12,600"
278,문어,김동식,요다,2021년 03월,"11,700"
279,경애의 마음,김금희,창비,2018년 06월,"14,400"
280,퇴마록 국내편 1,이우혁,엘릭시르,2011년 09월,"15,300"
281,여기는 Q대학교 입학처입니다,권제훈,&(앤드),2022년 09월,"12,150"
282,사랑의  생애,이승우,위즈덤하우스,2017년 03월,"12,150"
283,내 심장을 쏴라,정유정,은행나무,2009년 04월,"10,800"
284,빛의 제국,김영하,복복서가,2022년 05월,"10,800"
285,삼개주막 기담회 2,오윤희,고즈넉이엔티,2022년 01월,"13,500"
286,살인자의 정석,김동식,요다,2019년 03월,"11,700"
287,마고,한정현,현대문학,2022년 06월,"11,700"
288,소설 보다 : 겨울 2021,김멜라,문학과지성사,2021년 12월,"3,150"
289,토지 1-20권 세트,박경리,마로니에북스,2012년 08월,"243,000"
290,일주일,최진영,자음과모음,2021년 09월,"10,800"
291,미스 함무라비,문유석,문학동네,2016년 12월,"12,150"
292,복자에게,김금희,문학동네,2020년 09월,"12,600"
293,국립존엄보장센터,남유하,서해문집,2022년 05월,"11,250"
294,무궁화꽃이 피었습니다 1,김진명,새움,2020년 07월,"13,500"
295,새의 선물,은희경,문학동네,2014년 01월,"14,850"
296,살인자의 쇼핑목록,강지영,네오픽션,2022년 05월,"12,600"
297,나를 마릴린 먼로라고 하자,한정현,문학과지성사,2022년 02월,"12,600"
298,딜리터,김중혁,자이언트북스,2022년 08월,"14,310"
299,스마일,김중혁,문학과지성사,2022년 04월,"12,600"
300,검은 꽃,김영하,문학동네,2020년 10월,"13,500"
301,어둠이 걷힌 자리엔,홍우림,흐름출판,2022년 02월,"14,220"
302,삼미 슈퍼스타즈의 마지막 팬클럽,박민규,한겨레출판,2020년 12월,"12,420"
303,잠옷을 입으렴,이도우,위즈덤하우스,2020년 02월,"13,500"
304,그 여자네 집,박완서,문학동네,2006년 08월,"12,600"
305,오직 두 사람,김영하,문학동네,2017년 05월,"11,700"
306,기억을 넘어 너에게 갈게,양은애,토마토출판사,2023년 01월,"11,700"
307,얼마나 닮았는가,김보영,아작,2020년 10월,"13,320"
308,딸에 대하여,김혜진,민음사,2017년 09월,"11,700"
309,인간의 법정,조광희,솔,2021년 04월,"12,600"
310,개,김훈,푸른숲,2021년 04월,"13,500"
311,조선 정신과 의사 유세풍 (하),이은소,새움,2022년 08월,"13,500"
312,연년세세 年年歲歲,황정은,창비,2020년 09월,"13,050"
313,예수님의 폭소,최원영,좋은땅,2022년 12월,"13,500"
314,그때 그 마음,정소현,현대문학,2021년 12월,"13,500"
315,룬의 아이들 - 블러디드 3,전민희,엘릭시르,2020년 09월,"13,050"
